Pessoa/Organização;Ação;Item;Empenhado (R$);Liquidado (R$)
Brasilfish Importação e Exportação de Alimentos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;31209,00;30919,70
Brpaper Comércio Produtos Descartáveis Eirelli-epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;74928,68;74928,68
Bruthi`s Comercial Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903040 - Material Educativo e Cultural;1770,00;1770,00
Bruthi`s Comercial Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903066 - Material de Proteção, Segurança, Socorro e Sobrevi;2640,00;2640,00
C/s Group Importadora e Exportadora do Brasil Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;3190,00;3183,62
Café Pacaembu Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;7740,00;2941,20
Cajuru Industria e Comércio de Alimentos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;590570,75;502844,23
Campos Oliveira & Ghiraldi Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;19950,56;19282,15
Casa do Açougueiro de Ribeirão Preto Eireli.;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;1773,00;1773,00
Casa do Açougueiro de Ribeirão Preto Eireli.;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;2476,80;2476,80
Cdl Central de Diagnósticos Laboratoriais Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903914 - Exames Laboratoriais;50878,40;18424,38
Celso Fernando Alves de Freitas & Cia Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903983 - Serviços Gráficos;2730,00;2730,00
Centroeste Carnes e Derivados Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;199110,98;198973,94
Christianini Cial Elétrica Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;1321,00;1321,00
Cia. Ultragaz S..a.;5304 - Ensino de Graduação nas Universidades Estaduais;33903024 - Outros Combustíveis e Lubrificantes;2913,03;2913,03
